Rattings,Review
1,"I am a beginner but I quickly realised that this camera is crippled in a way that if Amazon details that info here in the product details (which they must) can change your buying decision. Firstly, this camera cannot shoot videos for more than 29min 59secs (less than half an hour in one go) that too if you are really lucky!For those who thinks that 20 mins on a single video file is enough for them, then you must also be informed that if you don't let it cool down for a minimum 30 mins....the subsequent runs will give you lesser and lesser video shooting duration as it will heat up a lot faster and frequently. In my case the 2nd attempt after 15 mins of recording in 1st go with a 10mins of cool down period, experienced a heat warning at around 5 mins mark! and a shutdown at around 8mins!  which is truly poor performance and makes this camera a joke in terms of video shooting.In general scenarios my a5100 usually shoots for around 10mins in video mode before getting a temperature warning and usually shuts itself down completely after 16-20mins - depending on its mood! (yes mood, not mode!) I am saying mood because, there is no fixed duration for which it can record properly, sometimes it shutsdown at 6-7 mins, sometimes at 15 mins. Which makes using it for video even more challenging, so much that it can be also termed as useless imo and this is when, it is not shooting any fancy formats or resolutions, just simple full hd 1080p (default settings) the performance remains poor...).Also, Amazon has nowhere mentioned this limitation, and none of the reviewers have pointed this out. So there, are 2 issues with this product. 1)the sony's built in video capture time limit per clip and 2) amazon description should state the same. However this can be corrected by Amazon, so that unsuspecting buyers like me don't buy a product which is not meeting their needs.For pictures this is a fine camera.Sad part is, In my case, i didn't find this flaw, which was built in by sony and never communicated by amazon in the product details, went unnoticed as i didn't use the camera for a longer duration during the first 10 days of delivery. Some of the stuff was on the way, the lens etc. so i felt no need to use it for long with the kit lens. I did tried everything just to make sure that its working or not and never put it to record anything greater than 2 mins untill it was too late to return(the return window was also shorter - 10 days in this case).  :(As of now, Amazon has denied the return request and suggested me to contact Sony support. my 2 cents..Do not entirely rely on the information provided by amazon, Just make your purchase after doing proper research using information available outside amazon too...Hope this will help you make a wiser decision."
5,"Awesome camera. Image stabilization is great, good battery backup, awesome focusing, value for money... Compact, suitable for travellers, not bulky, usb charging is always handy, image quality is superb."
4,"Great camera, just started to use. Everything seems to be as expected or even better. The only downer is that you can only look at the screen to see what you are capturing. Under midday/noon bright sun the screen glarez and you cannot really see anything"
5,"I had a wide research before buying this little one and Now, I'm happy that I didn't go for any DSLR. Seriously, if you are a beginner looking for DSLR within 30-35K. You can go for this. This is small & compact. I easily carry this in my pocket wherever I go. I bought this one PRIME DAY sale by 29K. Only problem is that u have limited lens options from Sony & Sigma. So Check once, before buying any camera. I used it for a week & I'm adding some sample shots, I took using the kits lens. I hope this will help you knowing this little baby camera better 😍. Battery is a problem, as this a small camera, so has a smaller battery. So but an extra native or third party battery.Another thing, if you may not feel good enough with kit lens, so later  buy a 50mm f1.8 for better portrait with good bokeh😍.You may add lens available for this camera, later on1.35mm or 50mm f/1.8 Sony OSS ( for Portrait)2.55-210mm f/4.5-6.3 Sony OSS (decent Telephoto lens with decent price) & Check 70-350mm Sony OSS also( New lens for APSC & bit expensive around 70000)3.Sigma 16mm f/1.4 (Auto Focus) (price: 33k, but excellent lens)&Rokinon/Samyang 12mm f/2 (Manual Focus, cheaper than Sigma, 20K)Both are excellent for Landscape, nightscape & Astro photography.That's a complete Package, Put these in a small tiny bag with Camera & three lens."
4,"Good Camera. Only thing is the LCD screen quality is a bit low. Very compact so get a wrist strap along with it. Though a neck strap is included, the camera of this size hanging around ur neck will be a bit award.Things included in my package:1. Carry Case2. Camera with kit lens3. 16GB class 10 sdhc card (but you need a sdxc card to record on xavc format)4. Micro hdmi to hdmi cable5. Battery and its adapter"
4,"Though I’ve used this device for only one day, there might be lot of things I don’t know about it. Picture quality is better than any smart phone in the market but low light photos (in auto mode) didn’t at all impressed me. It’s very handy, light weight and perfect companion for casual photography. There are several apps in this camera and most of them are paid ones ranging (₹310-₹620). I don’t know if this camera supports panorama or not, I wanted to use but I couldn’t find it anywhere.All in all if you’re into low light photography, like slow motion videos or you’re a fan of blurred background then this camera is certainly not for you.Battery life is ok.FYI- I used kit lens, using different sony e-mount lens may change the game."
5,"Sony Alpha 5100  is Mirrorless camera!!! Not DSLR!  Beginners should know the difference between Mirror less and DSLR cameras!  Mirrorless is advanced technology! These are smaller and lighter than DSLR!✓Sony a5100 is a great beginners camera! U can capture GREAT quality pictures(photos) like 4k quality in automatic and manual fuctions in this camera! But this camera is NOT for photography beginners!  It doesn't have viewfinder! Instead it has a touch screen!  So u can touch wherever u want to focus on screen!✓But it is a great option for mini or short FILM makers (beginners). U can film high quality 1080p video at 25fps and 50fps in XAVC format... but u need 64gb or higher XC memory card for filming in XAVC mode..✓ But a normal HC 16gb memory card is enough to film in AVCHD and MP4 formats.. which are lesser quality than XAVC format!✓ this camera comes with a kit lens  3.5-5.6 / 16mm-50mm (power lens) u can shoot great wide shots! Up to 35mm.. But a bit dim closeups with 50mm. These lens are good at this price!✓if  you upgrade to other costly lens! This camera can give ULTIMATE 1080px videos.. because it has 24MP APSC crop sensor same as A6000 camera!  And almost same as  A6300 , A6500 and A6400 too!!! But these cameras can shoot 4k videos..but A5100 shoot only 1080p videos!!! But great quality 1080p videos in 16:9 aspect ratio!!!✓this is a mirrorless camera.. which is upgraged version of DSLR!!  So it is smaller and lesser weight than DSLR!!  Because of its size and weight.. it is easy for short filmmaking! (For Beginners who knows video editing and film making techniques)✓ it is a great option for travelers... Vloggers... Youtubers...  Short nd mini filmmakers with little bit film making knowledge!✓ it contains flip screen.. for selfies and vloging! Inside camera settings it contains  good iso,shutter speed, white balance, peeking, 24 and 50 fps, app store(paid apps) , etc..✓ it is a good camera at this price point! (30k /-)... Don't expect like  a6500 or a6400 ( 1 lakh range)✓ if u want a DSLR at this price..!!!  My suggestion is to prefer Canon 1500D at [rupees25k to 30k] and Nikon D3500 at [rupees 25k to  30k]  and Nikon D5600 [at rupees 35k] with kit lens only!  And  other Mirrorless camera Fujifilm XT100  at rupees around 30k !!!  All these above cameras have same APSC 24MP crop sensor!! All of them films 1080px video and comes with  Almost same 16 to 50 mm kit lens!!!✓ this is my honest opinion.. i liked this camera!! At this price point!!  If u want DSLR.. Nikon D5600 is best!In 2021...  I changed my mind..  whatever I said before  about this before is true. And this is a decent camera for vloggers , tourists, photography.. with good lens👍..  But if u seriously wants to make a short films.. wedding films.. or even any thing related to creative videography.. don't buy this camera..  go for Sony a6300 or any above models.. a6400 or a6500.. trust me on this.  If u want to make films go for a 4k camera!!!!don't buy this little camera for film making!!But for photography.. vlogs.. this is best for beginners.. but u may need to buy other lens!U can go for canon DSLR cameras in this range of usage.. because canon lens are very cheaper than sony! But same quality!!! But for filmmaking.. trust me.. go for 4k camera.. like  sony a7 series or atleast a6300(cheaper) or a6500(costlier)."
5,"After I placed the order, until it got delivered I kept on thinking that I've spent extra for a camera, DSlR could have been bought for a cheaper price and I could have saved few bucks. I was thinking that, let it come, I'll keep it for few days and then return and order a cheaper DSLR. But when I saw it for the first time, it was okay to me, I started exploring it's options and features and now I'm in love with it. This is really a compact camera with n number of features, options and additional installable apps to make your photography experience wonderful and truly professional. Truly value for money."
4,"I don't really write reviews, this is one of the very few reviews I've ever written in my 7+ yrs of engagement with amazon.to begin with, This camera is ideal for every beginner photographer. With less buttons, its easy to be used but the same will become a trouble when you will get better at using a DSLR and will look for shortcut buttons to access frequently used features.The size is very compact, like really compact. So much that sometimes it wouldn't even give you the feel of a DSLR but will rather look like a point and shoot camera.Picture quality is excellent considering its an APSC sensor camera. Super fast auto focus will prove to be very helpful in cases like street and sports photography. I mostly use it for street photography and its amazing at that.Now lets talk about the elephant in the room - I reckon that if you are reading this review right now you might be on a tight budget, or are looking for an entry level mirrorless DSLR. This camera is an amazing piece of tech but it doesn't have a viewfinder. Though some might be okay with it, but where I found this to be a downside is when I was doing street photography in the middle of a bright summer afternoon. Sure you will be able to see what you are framing in the view finder but the little details that make for a good street shot will be missed becayse the screen isnt really a champ under bright sunlight. I would recommend you to go with the A6000 if this sounds like trouble to you. Other than that, this camera is a STEAL deal and its better than any other Canon Nikon camera out there in the same price range.I am adding a few sample shots shot using the kit lens and the SONY 50MM f1.8 FE lens.for more follow me on insta - @herculiez. Hope this helped."
5,"It's a compact mirrorless digital camera with the option of interchangeable lens. It's compact size makes it ideal for street photography without disturbing the subject by the presence of a large camera body. Easy to carry everywhere. Sony's 24.3 megapixel image is great with real to life colour science. Good image details even if zoomed 50 % in photo editing softwares. Raw still shooting available. Full HD video available with flip LCD screen. If you are looking for an entry level mirrorless digital camera to learn photography without spending much money, this is a great camera even in 2020. Above all its a Sony product. It will not let you down. Note: Since the camera body is smaller it's ideal to attach a safety wrist strap with the camera. Read user manual before installing the lens, charging and to explore the functions and menus. It's a very helpful tip for beginners. Also, while closing the lens cap please be careful not to make scratches on the lens front area. Avoid long video recording as it may cause internal heating. But it's not a fault. Focus is great. Kit lens is ideal for beginners. Read photo books by master photographers...get inspired...start taking photos. All the best."
5,"Bought it bcoz I had a tight budget. Mirrorless is the future whether people accept it or not. Could've gone with cheaper DSLR but my biggest needs were portability and future lenses. You can't believe how small it is. You can put it in your jacket pocket. Bit confusing for beginners. But don't worry guys. You'll get there. And once you do, grt quality pics await there. Got the same sensor as the newest models so didn't bother for A6000. Stock lens is good enough. Keep taking pics. You'll get better. Little guidance from online videos will help. And if you have the budget. Then go for better lens. Don't buy costlier cameras because lenses are not cheap. Loved the product. Very much happy with it."
5,"It's like dream comes true.  You need to do the settings and it gives ultimate pics.  On installing sony software in mobile u can control the camera remotely from mobile and can take memorable family selfies.  This camera has wifi and battery backup is very good without flash,  on flash usage u need extra battery. Go for it."
4,"This is good for learning how DSLR/Mirror less world starts. You must buy a prime lenses (35mm or 50mm) with auto focus and a wide angle lense, with this two lense you can start photography. Please avoid kit lense otherwise you will be disappointed.After some time you can go for full frame camera. APS-C has less advantages as compare to full frame.At the last if u want to learn then it is ok for u, if u want professional quality then it is not u. DSLR world is not for low budget photographer. After purchasing camera body you need 4-5 good lense and lense are costly, some lense are more costly as compared to camera body. You need accessories too like tripod, monopod, Mike, flash, good memory cards, extra batteries, power bank, and  a laptop for processing images.Overall for professional photography budget should be high.If u think so go for it, otherwise purchasing a mobile phone having good camera is better option.Best of luck....."
5,"Edit: Had to return due to1) High quality recording not possible because camera not recognizing industry standard sd card. I used sandisk extreme pro (it's v30 4k)2) Overheating  issueFor this price you can't get a better camera. I use canon, gopro and Nikon as well, so I believe this is the very best option for vloggers, beginner photogs, travel cam and product photography. Slight heating issues/hanging when recording videos at highest quality. I take photography workshops and i found the guide in this cam does half the work for me. If you have more money get a sony a6400."
2,Camera is good if you just want to click pictures.But if you are planning to make videos then this is clearly not a good choice.Camera got shutdown after 15-25 min (depending upon the temperature) due to overheating.If you need a camera for video recording search something else.
1,Waste product of Sony never ever buy this from amazon
1,"It gets heated within 15 min of video recording, no external mic support. It's smaller and light but low light photography is poor. Why are u putting ur money around 28000rs for buying a garbage Just for photos and it's light? Don't waste ur money go for canon clear and sharp images. For this money u can buy a good blogging camera. For blogging always check for external mic and the video recording time"
5,"Bought it for a friend at around 25.3k.The camera is pretty good, great value for money.Major Pros:Great beginner's camera!Budget friendly, fully capable.Major cons:1. No viewfinder2. Video length limitations (present in many sony cameras)"
5,"After using it for few months and taking some beautiful shots on it I found this to be very useful camera and a very handy one. It helps me a lot to take quick shots of subjects, but if you want to get more into photography then buy a lens for this.It serves my purpose of a good quality handy camera, that's it. Thanks Amazon and Sony.."
3,I bought this for live streaming as it has clean HDMI. But you can't live stream more than 10 minutes as the camera gets off by overheating.
5,"+ Low weight and form factor+ Very good Kit lens+ Good picture quality+  attractive price of around 32K for DSLR, mirrorless+ Excellent delivery support by Amazon- LCD screen not bright in sun light/bright areas"
5,"Check properly your packaging and product box as I received a opened seal  camera box, and the box was little bit pressed due to rough packaging. I did not check the camera and quickly placed a replace request.  After one day, I received an order which had a brand new box with a seal (i.e. box was not opened before)  Camera is great. It has touchscreen, wifi, NFC, we can download some camera apps from sony, we can connect smartphone & use it as a remote.  Camera is best for the beginners. Lens is small but enough for the rookies. We can always buy a new lens.  Takes about 75 to 85min to charge completely(2% to 100%).  It can record full hd videos. The flash do not work in videos."
5,"Nice 📷 it is. Yet to know all detailed features, exploring the camera till now. Happy with the features, n yes it's very compact n small... Can say s chota packet bada dhamaka."
3,Beginners camera if you want to get into sony camera system. Its strictly average in every aspects and less than average in video department because of the horrible overheating issue so do not expect more than 5 minutes because it'll automatically turn off. Picture quality and colour reproduction is decent. Nothing outstanding like i said earlier if you wanna get into sony camera system this is your entry-level camera otherwise look elsewhere.
3,"As the camera gets to have started to blink a red light within two days without a reason later it detect that software problem is there,Picture quality is great ...I am not blaming Amazon .... But the sellers ...used to self somehow defective piece or I can say luck also matters.."
5,Better picture quality in comperison to any IOS or Android phones avalable in the market. Really supurb product from the reputed company SONY. No match at all. I am fully satisfied with this product and reccomend to others. Lack of view finder but it's 180 degree movable LCD screen feature is marvalous. Thanks Sony for this type of product. Value for money.....
4,Camera is great you can upgrade lens to get better photos because the stock lens is no good.I got video recording of about 22-25 mins in 1080p 50fps and with minimal heating.(while recording video please uplift the screen so that heat can dessipate)
5,"Best even in 2019.No 4K. Nit required for me.Awesome image qualityAwesome low lightLight weight.User interface best for travel, family & hobby photography.Easy to use for elders too.Will not be stored inside the cupboard like other dslrs due to their bulky nature"
5,It has same sensor as 6400 which is widely used for video purpose.. stabilization is ok and the main charm is the optics.... Autofocus is the fastest.. never miss a single click..only downside is no Mic Jack rest it can beat any APS-C in market
4,"Very capable at this price point. It takes time to be familiar with sony settings and then it works very well.But one thing is annoying, that is the price of lenses. I bought a 50mm f1.8 prime @ rs 20K. Picture quality is high. I am attaching some samples you can check out."
3,"Like - it is mirrorlessPartially touch screenDislikePixelates and cannot zoom inAuto mode is too sharpNo separat batter charging , it's not that bad"
1,Too much costly and bad performance does not have slow motion video recording
5,Never was a fan of DSLRs due to their bulk size.. But this mirroless are so small and light weight that you get the power of DSLRs in ur pocket..Note: It will not fit in your pocket though..but it will easily come in a small bag.
5,I am new to DSLR type of camera n Sony alpha camera with smart settings is making capturing photos very easy.Its helping me to understand settings with in built guide.
3,Average quality. Non reliable.Mere pass aur bhi joints (action cam mount) hai parr yeh sabse kamzor lagaa. Iske oopar 25k kaa camera lagaanaa sach me risk nahi le saktaa.Delivery was on time. Love it.
4,Built quality was good 🙂 worth for money
5,"Nice Thermal, stops cold winds and keeps legs and thighs pretty warm. Good for bike rides in cold weathers."
5,Very good quality.value for money
3,Ok product
4,Works for sjcam sj7
5,Good
5,Nice
2,Not fit for gopro
1,Extremely poor quality. Don't buy
4,Good product..nd worth for price..
4,Good product
1,Avoid
4,"Product qualty is solid, working good with my action camera."
3,"There is a feature in this by which you can do backup recording for safety in the memory card, but after turning it on, it keeps recording continuously until you stop it manually. This means that it does not sync with your camera. That is, when you press the record button, it will not record audio in the memory card at the same time. The transmitter that have with the artist may not always turn recording on and off after every shot. If you even think of doing it, then you will be frustrated in a while."
5,"Xlnt budget friendly, and voice recorder inside the transmitter.. xlnt"
5,Good buy... sound quality is good. Audio back up option is excellent.
1,"The seller thought i wont have a measuring tape ? Its around 30"" only in diameter. In photography, the difference between 30"" and 36"" matters. And even if it doesnt it does not give the seller the right to say 36"" and then send smaller ones.The quality of the umbrella is HORRIBLE. The outer edges of the fabric are torn and just unravelling as its not fused together or no seams so the fabric is just disintegrating on the edges.Filed for a return."
2,"Came torn, but had to keep it due to the urgency. The cloth could have been a bit more thicker to make it more translucent."
3,ok costly
2,Not bad
5,Nice and sturdy for home use. Used for couple of times and have no issues.
5,Product quality is good
5,Nice
5,Awesome Product
5,Good 1 but over priced ….
5,"I had been excited about this action camera ever since it launched. It's an innovative design which makes using it very easy. All the accessories needed are already provided with the product. After first day's initial usage, I love the quality as well.Would recommend the product to anyone looking for an action camera."
5,"Thanks, Insta360 for making such a cool product. I was able to capture some awesome shots I would have never captured without GO 2. The form factor is tiny so it can fit on top or into literally anything.Video clarity, Dynamic range and Stabilization are on par with other action cameras much bigger than this one.Now coming to my feedback on the problems most people fear about GO 2.Storage:I didn't find the 32GB storage so limiting. I take short videos with less than a minute duration rather than lengthy ones. This would give me the perfect output for my Instagram reels and TikTok. Also, it would save tons of time in editing. For this kind of usage 32 GB is enough for one or two days of footage.Transfer speed:I was able to edit the footage from the camera itself(via mobile app) and then delete it. I would save the final output in my phone, not original pro video files. By doing this, I did not feel any lag in transfer. But when I try to download original files directly to my phone via wifi/bt there is a noticeable and frustrating lag. Using an OTG cable to transfer the original file to the phone may solve this issue.Battery:Decent battery backup is one place I feel GO 2 lacks. Usage inside the case gives decent battery life. But most of my usage is with a pendant or head mount for POV shots. The battery drains completely in almost 20ish minutes.Heating:Continues usage like hyperlapse can heat the device. But if it's in cold weather it should be fine. The camera never freezes or stoped recording even if it's a bit hot.Having said about the drawbacks, it would overrule all the good things that this camera offers. I am ok with living with the issues. If you do not need hour-long videos for youtube, posts mostly on Instagram or TikTok as short clips, this camera makes perfect sense."
5,This is my first action camera and to my surprise it's fairly easy to use.. very light weight.. no hassle of carring a battery and battery charger.. lots of attachments provided in the box itself . even the attachment provided does a great job in holding up to any surface.. I was waiting for it to launch in india . And I am very happy with my purchase...
5,"I already have go pro 4, 5, 6 and 7, Insta 360 one x2 and now this one welcomed to complete the family. Falling in love slowly with insta products ❤️"
5,"This camera is feature-packed, easy to use and super nimble.Since my usage was more with POV, the charge on the camera is not enough to pull a recording over ~25mins in cool ventilated conditions.Rest assured, it's a worthy purchase if the intent is to use it with the case."
5,"Loved it. It’s the perfect action cam in the market as of now. Great quality, the reviews on YouTube say it all, ezz to use. The edit app is just flawless and works great with the OS."
5,"You pretty much get everything you need in the box, you don't have to buy anything extra. It is very convenient and super easy to use. The insta360 app is an added bonus. The video quality is superb even though it can't do 4k, the stabilization is almost as good as GoPro. It's also not as intrusive ae a GoPro. Pov shots are very fun too."
4,Liked - handy to useDisliked-Does not record audio clearlyUse only for recording small clips without spoken audio
5,"First off, the build quality is excellent. Everything feels high quality and well put together. Comes with three plastic trays that are removable if needed. All the trays have a closed cell foam sheet, with one tray having cylindrical grooves.Humidity stabilises within 10-15 minutes if there is a huge difference between ambient and preferred. Once set and stabilised, it stays without much deviation. Inl usually just see a couple of points movement as the day progresses. This is quickly brought to the preferred setting automatically. Do note that fluctuations do happen as this is far from air tight. And you don't need it to be airtight either. However, if it were airtight, you can switch the unit off once preferred humidity is achieved and switch it back on only when you open it the next time.Having said that, the unit consumes power only when the preferred humidity is different from ambient. Else it consumes less than 0.2A. I've attached a screenshot of the monthly power consumption so that you get an idea. It makes next to no difference to leave this running all the time. I initially had it on a timer where it would run for an hour every 3 hours but soon realised it hardly makes any difference.Next off, the size. In my picture you can see the following:Tray 1: 70-200 f/2.8L IS USM II, 100 f/2.8L IS USM, 15-45 IS (Mirrorless Kit)Tray 2: 16-35 f/4L IS USM, 50 f/1.8, 24-105 f/4L attached to M50 bodyTray 3: Sony Action Cam, Batteries, Canon 5D III with grip, Canon 1DXTray 4: Miscellaneous itemsTray 2 has all the lens placed towards the front. The depth is enough to house another couple of lens there. Similar with tray 1. You can judge the depth by looking at the 70-200  (hood installed)An additional tip is to always leave your lens without the front caps when stored in this. This will make sure the lens alwahs gets some light will be an additional barrier against any risk of fungus if you're in a tropical and/or humid region.I wouldn't upgrade to the larger model unless i have significantly more kit. In the same vein, I'd go for the smaller one if I had less kit. This will also prevent unnecessary air in the unit.Overall, highly recommended. I got it for around 13k with a few offers. Special mention for the excellent packaging."
5,Extremely well packed and a high quality product.  I was skeptical as to whether to go for Andbon or this one. Chose this as it was cheaper and I don't regret my decision. It's just perfect.
5,"A perfectly useful ,essential item for photographer.A beautiful product , controls relative humidity effectively. Whatsoever the external humidity is it maintained the internal humidity by 41%. Before super cyclone AMPHAN fell on Kolkata the relative humidity shooted upto 85%. But Hiniso smoothly ran to control interal humidity. In case I take 2 camera bodies & 2 lenses for a days work on street. After they are inserted in the dry cabinet the relative humidity rises above 58% but within 1 or 1and half hour it comes down to 41%.I am extremely satisfied with the product but don’t know about its longevity ."
5,"I live close to the sea and know that the humidity levels at my place will be abnormally highHad heard about these cabinets and decided to get one after I acquired some pricey lenses recentlyI got a good deal and ordered one recentlyThe cabinet is sturdy and good build quality, seems to do the job wellI was shocked to see the humidity level at around 80% when I first switched it on,  took a while to reach the desired 40% which is being maintained steadily now.Seems to do the job and I feel reassured now as fungus could mean doom for one's precious lensesIt's a very tiny investment to make for your precious gearLastly kudos to the excellent packaging, they made sure it reached me 100% unscathed"
4,Product is as mentioned over the site ...very easy to operate and works perfectly ...keeps the lens and cameras humid free which is good for the longevity of the lens ..has internal lights as well ...temperature and relative humidity can be controlled by switches ..consumes less electricity as well..u have to keep it on always ..overall a sturdy and robust product ...so far so good
5,"Very nice product. Its fitting my 70 200 zoom, 24 70 zoom 4 primes and the camera too. Still there is some space left . Humidity is maintaining well."
5,"The dry cabinet quality & built is very sturdy and good. It has a strong body & thickness. The packaging was very durable with wood casings as well as the delivery was perfect as per expectations.I especially like the copper colour design on the door. It gives a classic look.The space and shelvings are perfect for me or intermediate or semi professional users.The storage allows for many options inside. It can easily fit in easy 2-3 bodies with many options in lenses (5-6), along with gopros, or other relevant accessories to be kept in dry cabinet. The storing depends on the user also.The lock system & door handle makes it convenient.The shelves & foam quality is also satisfactory.Overall a good looking & performing cabinet.Only thing is the labelling says 5 years warranty but as per amazon you get only 1 year and maybe a year extension from the seller. This is the only skeptical part. Other than that all is perfect for the size category."
5,"A long pending investment in my Kit! final call came in recent Chennai storm damaged my precious lens..1) Sturdy construction, good confidence will come for years2) Strong shelfs, good enough for heavy white lenses3) Simple organizers4) Active and efficient dehumidifiersOverall feels like good investment. life need to wait and see"
5,"I have a reasonably good NIKON DSLR with multiple lens, few point and shoot cameras, and camcorder.  Spent nearly 4000 rupees to clean the fungus from Lens and camera  already twice.  That is when I explored the options how to protect them.  Bought this product after reading the reviews.  HINISO AD 80L dry cabinet arrived very safe in well protected packing.  I am happy about the appearance, user friendliness, and I hope it will save lot of money and protect the cameras.  I will also be storing the portable hard drives in it.  It is an excellent product and I already recommended few of my friends to go for it."
5,"Owsome product A perfect item for photographer. The Delivery was fast received the product one day before the expected date, the product was well packed and is a very good  high quality product.controls humidity effectively. The seller also is very helpful."
5,It’s a really value for money. Packaging was awesome and sturdiness. I am satisfied with this dry cabinet box. Those who have telephoto lens should definitely go for 80Ltrs one instead of 50ltrs. A good investment for present as well as future cameras and lenses.
5,"This is really a good accessories for all camera lover, delivered a good product,with a good packaging from Amazon,,wil review more about this product when I have use it for a year ,,now just happy only for delivering a good product,,,love it"
4,"Was worried whether it may arrive damaged but the product arrived very well packed with no damage. Checked the  working of this device by placing another digital hygrometer inside. Values of relative humidity is off by 10 to 15%. When set to around 35%, I get a reading of 43 to 46%in the independent hygrometer, while the internal one shows around 37%. I’m sure it works but with a catch; set your RH level 10% lower than you actually want and you should be fine."
5,"I installed it two days back. Initially it took about 5 hours to bring the humidity level to below 45%. Then it kept fluctuating between 45 to 42 for almost a full day. Today I haven't opened the door. So, the humidity level is maintained at 40% - 42%. Looks prety good."
5,"Excellent product & it was very easy to install & run the unit.A word about the packaging - absolute protection. The outer package can indicate TOP or 🔼Warmth, thickness etc is good & overall a good buy"
5,A very useful item for photographers particularly those who stay in humid areas...
4,The product began malfuctioning after one month...contacted the seller( Camera Centre)..they send me a new part which was very easy to install...now it is working fine...hope this time it lasts long
1,HiI purchased this in September 19 through Amazon  but could not use it at that time.I opened it today and tried. The display just doesn’t come on . Does the product have a warranty ?Is there any servicing option ?
5,I use this Dehumidifier for keeping Stamp Albums .It was giving troublem.I contacted SARTHAK ANAND of Photo media.I sent him the purchase invoice. He replaced the Motor without any delay.Great service
4,"I received the cabinet in time and good package. The HINISO Cabinet is good looking, compact. The capacity of 80litres should be sufficient for as many as 2big lenses, 4-5 smaller lenses, atleast 2 camera bodies. The temparature and humidity display is good and working well. Overall it is value for money."
5,The packaging was very good. The installation was easy. The design and construct of the dry cabinet is good
5,I do not know the terms used. The product is for keeping the humidity under control. The cabinet is working fine.
5,Best product in the market. The packaging of the box is very good. The seller is very helpful. Good finish comes with good quality. Very much satisfied with the product.
5,Very good packaging. Reached 1 day earlier. Functioning perfectly till now. Coping up with dreadful kolkata mansoon humidity nicely. Using it for storing of my old mint postage stamps. Value for money.
5,Fast shipping. Very secure packaging. Product is excellent and capable of managing RH level bellow 30%. Most suitable for storing moisture sensitive items under very humid room condition.
5,It works fine. i am now quite happy to see my camera and other gadgets are in safe custody. the delivery and packaging system are really too good.
2,Works fine but two of the three trays provided were broken. Delivery package was solid but the internal parts were mishandled while packing.
4,Good product- recommended
1,Lock is not good... Its is very loose. And bad quality lock is fitted
5,"The item arrived impeccably packed. I haven't started using it, so a detailed review will be done after some usage. Looks very promising."
5,Simple to install and use. great product for protecting your camera and lenses. Adjustable humidity levels.
5,Product arrived in a very strudy package.Loved the quality of the product too.Perfect fit for my equipment 😇
5,"I bought 80ltr dry cabinet and it's a very good product, got avarge space for lenses and camera....Must buy 👍"
5,Just excellent product
5,A must for storing Camera Gears in India
1,"After less than 2 weeks, it stopped working. I don’t have an email or phone number to contact the seller."
5,"Fantastic build quality,all the parts working well apparently"
5,Great purchase. Good price. Like the size. Fits my new 16 inch Mac book pro. Very happy so far.
4,Like the article but I need the warranty confirmation as I am using the product for the first time.
5,"The seller for this was really nice, and helped me with an issue that i had"
1,"The product description is wrong - the seller delivers 10"" Ring lights, not the 12"" as shown on the product page. I had to request the product return."
5,Pretty good product. Especially for this price range. The ring light is bright and can be adjusted in brightness and it's got 3 types of white shades. The Tripod is good too and can be adjusted for height pretty easily.
5,"This product works really well. The ring light is bright, sturdy and durable all settings work effectively, all 3 light colors are equally bright dimming works really well."
